time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.91486818137e-07,4.62671233988e-07,10.004986078,0.000372599299268,0.000180791382896,0.0,-1.71549781289e-05,3.87568468836e-05,0.166192228858,0.0163914617522,0.00844556183793,0.0,456.94359320539587,457.61618812968914,456.9077950380131,458.2124185289416
0.12000000000000001,-6.48035015783e-06,1.34666923734e-05,10.0165729331,0.000983358850617,0.000636065719767,0.0,-0.000238305308577,0.000474792964515,0.220026883611,-0.00668144450002,0.00581488504512,0.0,422.3463695458108,422.1193463058335,422.8344732156283,420.84235123457313
0.18,-3.81444004362e-05,6.45542925705e-05,10.0370217033,0.000532547508903,0.000868017852068,0.0,-0.000853219056181,0.00117576755447,0.461532108068,-0.00923193827673,-0.000349043766445,0.0,480.33058935355103,479.862917494196,479.5619769618186,479.3683569423496
0.23999999999999996,-0.00010780399287,0.000145380155046,10.0685024061,0.000721037653991,0.000532978079399,0.0,-0.00145291916775,0.00150685788045,0.587767652054,0.0205152242498,-0.0189320578638,0.0,445.4585033267678,443.93661604432486,444.86425442399053,447.2930239227755
0.3,-0.000203040243095,0.000257162526008,10.1086634914,0.00191299631565,6.2831483757,0.0,-0.00163180597222,0.00235405652616,0.750841696123,0.0185349137823,0.00471048501367,0.0,455.46191730781874,457.3486895164431,457.38418357886553,457.22642139400693
0.36000000000000004,-0.000301512185639,0.000441859405871,10.1564628829,0.00324102660554,0.000491425764907,0.0,-0.0016925048923,0.00392613331739,0.842407605836,0.0285029763335,0.0159451872292,0.0,434.6177305372142,435.558096429109,434.1108314213302,434.9463796467981
0.4200000000000001,-0.000415616548397,0.000744699139557,10.2082449744,0.00501192244241,0.00127885740516,0.0,-0.00219297302837,0.00633087730561,0.883630187655,0.0314653635257,0.00678160956765,0.0,418.940722304834,418.14319500194955,418.47734754872397,418.7354230310993
0.48000000000000015,-0.000577135998717,0.00124186757415,10.265467295,0.00645884447703,0.00117166985966,0.0,-0.00321954181166,0.0104283703822,1.0236641225,0.00235607686479,-0.0305155970141,0.0,451.6703012464596,448.65264087617845,451.476643234346,449.12223389472024
0.5400000000000001,-0.000787458717204,0.00199619729077,10.3289753882,0.00709099673843,6.28310555261,0.0,-0.00364563275063,0.0147567820615,1.09320787273,0.0232556261929,-0.00639154921787,0.0,427.7353612373798,429.7845645823572,426.75408509326525,428.5340214098323
0.6000000000000002,-0.00100357664377,0.00301217093047,10.3946708531,0.00853459645937,6.28279970867,0.0,-0.00352817172941,0.0192335115398,1.09663665823,0.0256218730707,-0.00262708892521,0.0,405.8609963265385,406.19877306257195,406.54843978717105,406.7605086623807
0.6600000000000003,-0.0012050136797,0.00438237337457,10.4673129222,0.0101725984041,6.28250810361,0.0,-0.003159845165,0.0266300308253,1.32452794099,0.0304607582835,-0.00974900656913,0.0,477.347049617336,476.80341095410995,476.6660862527968,477.03581043759016
0.7200000000000003,-0.00137874298669,0.00619152892203,10.5492059549,0.0114878406115,6.28169744229,0.0,-0.00256334764802,0.0338412507005,1.40514196593,-0.00660912849276,-0.0223600989279,0.0,432.83993878482494,431.7775116980343,434.2014565445429,431.08067352361627
0.7800000000000004,-0.00149554527221,0.00846604114891,10.6372400586,0.0110349965122,6.28049149341,0.0,-0.00119624341222,0.0419292054008,1.52917046656,-0.00949331769516,-0.0159229309774,0.0,446.26918826413254,446.79428769162615,446.43127809623485,446.19601493417593
0.8400000000000004,-0.00149952445331,0.0112400156956,10.7349330908,0.0107147818949,6.27948105988,0.0,0.00117720878978,0.050482931772,1.72698650175,0.00189539357076,-0.0187419364294,0.0,468.87478074592167,468.6558389974843,469.13816933069586,470.0216377513757
0.9000000000000005,-0.00133566498672,0.0145247873658,10.844712086,0.010949864151,6.27830814586,0.0,0.00441845390403,0.0590267161332,1.93198897768,0.00768430499281,-0.021212566471,0.0,471.5360707140438,471.3452484979701,472.10289874620395,472.54924544158996
0.9600000000000005,-0.00096271263476,0.0182989028145,10.9640560889,0.0111455819941,6.27696404566,0.0,0.00814831914251,0.0668110298692,2.04594609417,-0.00750632578519,-0.0248924607686,0.0,445.4980133813288,445.19701021158204,445.1534515245373,443.9087004724779
1.0200000000000005,-0.000372053499725,0.0224810026762,11.0848340022,0.0107985382818,6.27564745598,0.0,0.0116494807036,0.0725627210127,1.98010067826,-0.00254458588307,-0.0166160169172,0.0,384.71440350344085,385.4971279794989,384.8451592962355,385.3145916784388
1.0800000000000005,0.000495072352137,0.0270694604217,11.2077827561,0.0106421044099,6.27485124241,0.0,0.0173485137471,0.0803664503703,2.11794520339,-0.00273282598449,-0.00730177057825,0.0,452.12717036219436,452.8770435330583,452.5612574785773,452.54616020727184
1.1400000000000006,0.0017118406984,0.0321132472496,11.3380999057,0.0100093557083,6.27443797646,0.0,0.0232526091173,0.0877251293144,2.2257558265,-0.0346722922765,-0.00607232702467,0.0,443.70344516134367,443.8044715277018,445.00702652328664,442.3849999076888
1.2000000000000006,0.00334405905781,0.0376353522851,11.4808803004,0.00759125077471,6.27368468005,0.0,0.0312166338553,0.0960449823209,2.53296492338,-0.0550007473507,-0.0304871011,0.0,503.8240585530352,502.05594104102437,503.4243027441098,501.95057251628884
1.2600000000000007,0.00540954770686,0.0435342660222,11.6347541386,0.00425116592517,6.27162135597,0.0,0.0378180685987,0.100263647883,2.59602241036,-0.0570367409498,-0.043629410905,0.0,432.6266556726137,431.51811289149555,430.6183853515316,430.44391801645287
